name,ra,dec
268 G. Cet,2.601357,6.88687
3C 273,12.485193,2.052398
82 G. Eri,3.331944,-43.069784
96 G. Psc,0.806382,5.280615
Acamar,2.971023,-40.304672
Achernar,1.628556,-57.236757
Acrux,12.443311,-63.099092
Adhara,6.977097,-28.972084
Albaldah,19.162731,-21.023615
Albireo,19.512023,27.959681
Alcor,13.420413,54.987958
Alcyone,3.79141,24.105137
Aldebaran,4.598677,16.509301
Alderamin,21.30963,62.585573
Algenib,0.220598,15.183596
Algieba,10.332873,19.841489
Algol,3.136148,40.955648
Algorab,12.497739,-16.515432
Alhena,6.628528,16.399252
Alioth,12.900472,55.959821
Alkaid,13.792354,49.313265
Almaak,2.064984,42.329725
Alnair,22.137209,-46.960975
Alnath,5.438198,28.60745
Alnilam,5.603559,-1.20192
Alnitak,5.679313,-1.942572
Alphard,9.45979,-8.658603
Alphekka,15.578128,26.714693
Alpheratz,0.139791,29.090432
Alshain,19.921887,6.406763
Altair,19.846388,8.868322
Aludra,7.401584,-29.303104
Ankaa,0.438056,-42.305981
Antares,16.490128,-26.432002
Arcturus,14.26103,19.18241
Arneb,5.545504,-17.822289
Atria,16.811077,-69.027715
Avior,8.375236,-59.509483
Babcock's star,22.735418,55.589226
Barnard's Star,17.963472,4.693388
Becrux,12.795359,-59.688764
Bellatrix,5.418851,6.349702
Betelgeuse,5.919529,7.407063
Campbell's Hydrogen Star,19.579231,30.516371
Canopus,6.399195,-52.69566
Capella,5.27815,45.997991
Caph,0.152887,59.14978
Castor,7.576634,31.888276
Cebalrai,17.724543,4.567303
Cih,0.945143,60.71674
Cor Caroli,12.933807,38.31838
Cursa,5.130829,-5.086446
Cygnus X-1,19.972688,35.201604
Deneb,20.690532,45.280338
Denebola,11.817663,14.57206
Diphda,0.72649,-17.986605
Dschubba,16.005557,-22.62171
Dubhe,11.062155,61.751033
Enif,21.736433,9.875011
Etamin,17.943437,51.488895
Fomalhaut,22.960838,-29.622236
Gacrux,12.519429,-57.113212
Gienah,20.770178,33.970256
Gienah Ghurab,12.263437,-17.541929
Gomeisa,7.452512,8.289315
Graffias,16.09062,-19.805453
Groombridge 1830,11.88282,37.718679
Hadar,14.063729,-60.373039
Hamal,2.119555,23.462423
Hassaleh,4.949894,33.16609
Hatsya,5.590551,-5.909901
Izar,14.749784,27.074222
Kapteyn's Star,5.194169,-45.018417
Kaus Australis,18.402868,-34.384616
Kaus Borealis,18.466179,-25.4217
Kaus Meridionalis,18.3499,-29.828103
Kochab,14.845105,74.155505
Kornephoros,16.503668,21.489613
Kraz,12.573121,-23.396759
Kruger 60,22.466642,57.695875
Lacaille 8760,21.287725,-38.867362
Lacaille 9352,23.097531,-35.853073
Lalande 21185,11.055632,35.969877
Luyten's Star,7.456805,5.225785
Markab,23.079348,15.205264
Matar,22.716704,30.221245
Megrez,12.257086,57.032617
Menkalinan,5.992149,44.947433
Menkar,3.037992,4.089734
Menkent,14.111395,-36.369954
Merak,11.030677,56.382427
Miaplacidus,9.220041,-69.717208
Mintaka,5.533445,-0.299092
Mira,2.322442,-2.977643
Mirach,1.162194,35.620558
Mirphak,3.405378,49.86118
Mirzam,6.378329,-17.955918
Mizar,13.398747,54.925362
Mufrid,13.911411,18.397717
Naos,8.059737,-40.003148
Nash,18.096803,-30.424091
Nihal,5.470756,-20.759441
Nunki,18.92109,-26.296722
p Eridani,1.663003,-56.19462
Peacock,20.427459,-56.73509
Phad,11.897168,53.69476
Phakt,5.660817,-34.074108
Polaris,2.52975,89.264109
Pollux,7.755277,28.026199
Porrima,12.694345,-1.449375
Procyon,7.655033,5.224993
Proxima Centauri,14.495985,-62.679485
Ras Elased Australis,9.764188,23.774255
Rasalgethi,17.244127,14.390333
Rasalhague,17.582241,12.560035
Rastaban,17.507213,52.301387
Red Rectangle,6.332838,-10.637414
Regulus,10.139532,11.967207
Rigel,5.242298,-8.20164
Rigil Kentaurus,14.660765,-60.833976
Ruchbah,1.430216,60.235283
Sadalmelik,22.096399,-0.319851
Sadalsuud,21.525982,-5.571172
Sadr,20.370473,40.256679
Saiph,5.795941,-9.669605
Sargas,17.62198,-42.997824
Scheat,23.062901,28.082789
Shaula,17.560145,-37.103821
Shedir,0.675116,56.537331
Sheliak,18.834665,33.362667
Sheratan,1.910668,20.808035
Sirius,6.752481,-16.716116
Spica,13.419883,-11.161322
Tarazed,19.770994,10.613261
Thuban,14.073165,64.37585
Tureis,9.284838,-59.275229
Unukalhai,15.737798,6.425627
Van Maanen's Star,0.819416,5.38861
Vega,18.61564,38.783692
Vindemiatrix,13.036278,10.95915
Wezen,7.139857,-26.3932
Zaurak,3.967157,-13.508515
Zosma,11.235138,20.523717
Zubenelgenubi,14.847977,-16.041778
Zubeneschemali,15.283449,-9.382917
